Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,loyalty_score_a,loyalty_score_b,loyalty_score_c,promo_dependency_score,value_tier,satisfaction_flag,category_affinity,seasonal_breadth
18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,61.904761904761905,60.642857142857146,61.45508966952522,100.0,Silver,Satisfied,Clothing,1
19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,73.0612244897959,50.55102040816326,61.62135882936067,100.0,Silver,Satisfied,Clothing,1
20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,76.73469387755101,70.44557823129252,74.12697337293635,100.0,Platinum,Neutral,Clothing,1
21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,66.66666666666667,50.24999999999999,58.26265132030959,100.0,Silver,At Risk,Clothing,1
22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,50.476190476190474,53.11904761904761,51.706001044052584,100.0,Silver,Satisfied,Clothing,1
23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,45.30612244897959,37.50510204081633,40.74765655856491,100.0,Bronze,Neutral,Clothing,1
24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,91.83673469387755,80.19727891156462,86.90755071888118,100.0,Platinum,Satisfied,Clothing,1
25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,72.24489795918367,16.37074829931972,42.88329752855851,100.0,Bronze,At Risk,Outerwear,1
26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,30.612244897959183,25.59353741496599,27.01288785765843,100.0,Bronze,Neutral,Clothing,1
27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,29.795918367346943,22.82993197278912,25.122682383790206,100.0,Bronze,Neutral,Accessories,1
28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,31.56462585034014,52.414965986394556,41.87263997768452,100.0,Silver,Satisfied,Clothing,1
29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,59.31972789115646,83.37755102040816,72.35453588983519,100.0,Platinum,Satisfied,Accessories,1
30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,70.61224489795919,41.84353741496598,55.72729604400357,100.0,Silver,Satisfied,Clothing,1
31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,65.578231292517,44.12074829931972,54.43149202113765,100.0,Bronze,Satisfied,Accessories,1
32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,89.25170068027211,83.8486394557823,87.57315347932945,100.0,Platinum,Satisfied,Clothing,1
33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,49.38775510204081,76.07312925170069,63.47139793480093,100.0,Silver,Satisfied,Outerwear,1
34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,69.25170068027211,48.09863945578231,58.40145546937012,100.0,Bronze,Neutral,Clothing,1
35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,63.53741496598639,82.7534013605442,74.12866589460873,100.0,Platinum,Satisfied,Clothing,1
36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,78.36734693877551,57.38945578231293,67.94167649731399,100.0,Bronze,Satisfied,Clothing,1
37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,81.7687074829932,77.66836734693877,80.51735448935788,100.0,Platinum,Satisfied,Clothing,1
38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,67.3469387755102,20.539115646258495,42.66969360022067,100.0,Silver,At Risk,Clothing,1
39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,61.76870748299319,52.335034013605444,56.93181557320956,100.0,Bronze,Neutral,Clothing,1
40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,67.21088435374149,50.89795918367347,58.88224206013142,100.0,Silver,Satisfied,Clothing,1
41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,57.82312925170068,71.74149659863944,65.36615485257998,100.0,Platinum,Satisfied,Accessories,1
42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,51.83673469387755,61.11394557823129,56.67370725901946,100.0,Bronze,Satisfied,Accessories,1
43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,31.428571428571427,64.19047619047618,48.11948061423645,100.0,Gold,Satisfied,Outerwear,1
44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,61.36054421768707,48.66156462585034,54.75775783563704,100.0,Silver,Neutral,Accessories,1
45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,95.91836734693877,71.68197278911563,84.38185299109153,100.0,Silver,Satisfied,Accessories,1
46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,39.59183673469388,22.076530612244895,29.616614060760284,100.0,Bronze,At Risk,Clothing,1
47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,69.25170068027211,44.848639455782305,56.6585738321011,100.0,Silver,At Risk,Clothing,1
48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,88.57142857142857,64.64285714285714,76.93350809488196,100.0,Silver,Satisfied,Accessories,1
49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,83.53741496598639,42.420068027210874,62.499057883372586,100.0,Silver,At Risk,Clothing,1
50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,66.93877551020408,54.61564625850339,60.73987641861917,100.0,Bronze,Satisfied,Clothing,1
51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,71.02040816326529,45.183673469387756,57.72259669057414,100.0,Bronze,Neutral,Clothing,1
52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,38.23129251700681,49.66496598639456,43.73122731025176,100.0,Silver,Satisfied,Clothing,1
53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,80.40816326530611,18.340136054421766,48.02105626009045,100.0,Bronze,At Risk,Clothing,1
54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,87.75510204081631,43.4625850340136,65.1669733431559,100.0,Bronze,Neutral,Clothing,1
55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,67.75510204081631,76.62925170068027,72.9533038978501,100.0,Platinum,Satisfied,Outerwear,1
56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,59.183673469387756,42.65306122448979,50.447134693579734,100.0,Bronze,Neutral,Outerwear,1
57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,96.73469387755101,82.02891156462584,90.33878228525415,100.0,Platinum,Satisfied,Accessories,1
58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,59.727891156462576,54.551020408163275,57.09977725471743,100.0,Silver,Satisfied,Outerwear,1
59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,76.19047619047619,55.88095238095239,66.04427408378304,100.0,Silver,Satisfied,Clothing,1
60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,62.44897959183673,54.62414965986394,58.49953858930799,100.0,Platinum,Satisfied,Accessories,1
61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,73.0612244897959,37.96768707482993,54.87327864403699,100.0,Bronze,Satisfied,Clothing,1
62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,42.993197278911566,62.93877551020408,53.23054242217471,100.0,Silver,Satisfied,Accessories,1
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,71.156462585034,38.15816326530612,54.02304460080002,100.0,Bronze,Neutral,Footwear,1
64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,94.28571428571428,55.82142857142858,75.0599722222946,100.0,Platinum,At Risk,Accessories,1
65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,60.544217687074834,68.48129251700679,64.97834527715102,100.0,Platinum,Satisfied,Footwear,1
66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,61.76870748299319,66.58503401360542,64.57368121354298,100.0,Bronze,Satisfied,Accessories,1
67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,28.29931972789116,61.52721088435374,45.12662208782971,100.0,Gold,Satisfied,Clothing,1
68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,92.51700680272108,63.4030612244898,78.24143027511789,100.0,Silver,Satisfied,Outerwear,1
69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,42.993197278911566,43.105442176870746,42.594495507558584,100.0,Silver,Neutral,Accessories,1
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,63.26530612244898,48.88775510204082,55.831438242626454,100.0,Silver,Satisfied,Accessories,1
71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,51.97278911564626,47.505102040816325,49.44370262195679,100.0,Bronze,Satisfied,Accessories,1
72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,46.93877551020408,39.44897959183673,42.60642877803037,100.0,Silver,At Risk,Clothing,1
73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,42.993197278911566,21.438775510204078,30.975284592431716,100.0,Bronze,At Risk,Clothing,1
74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,74.28571428571429,58.32142857142858,66.40065040480924,100.0,Platinum,At Risk,Clothing,1
75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,54.96598639455783,43.86054421768708,48.9858295980596,100.0,Silver,Satisfied,Accessories,1
76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,36.3265306122449,43.355442176870746,39.39522999247671,100.0,Gold,At Risk,Accessories,1
77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,78.63945578231292,53.33843537414966,65.90528504782428,100.0,Silver,Satisfied,Accessories,1
78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,75.23809523809524,48.22619047619048,61.46305469636918,100.0,Silver,Neutral,Clothing,1
79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,86.66666666666667,92.25,90.78604478655552,100.0,Platinum,Satisfied,Clothing,1
80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,60.952380952380956,61.57142857142858,61.476865375411606,100.0,Platinum,At Risk,Outerwear,1
81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,45.442176870748305,54.646258503401356,50.00799356643228,100.0,Gold,Neutral,Footwear,1
82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,55.23809523809524,56.80952380952381,56.066049789669435,100.0,Platinum,At Risk,Footwear,1
83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,42.993197278911566,36.93877551020408,39.287489324022474,100.0,Bronze,Satisfied,Clothing,1
84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,86.93877551020408,52.11564625850339,69.39919823610452,100.0,Silver,Satisfied,Clothing,1
85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,60.136054421768705,58.224489795918366,59.273834992289956,100.0,Bronze,Satisfied,Outerwear,1
86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,40.816326530612244,58.596938775510196,49.813704735127175,100.0,Gold,Satisfied,Accessories,1
87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,77.55102040816327,56.042517006802726,66.81118866020405,100.0,Silver,Neutral,Clothing,1
88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,81.7687074829932,59.00170068027211,70.5069573932486,100.0,Silver,Neutral,Footwear,1
89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,81.08843537414965,47.71258503401361,64.11279292009746,100.0,Silver,Neutral,Clothing,1
90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,44.761904761904766,50.44047619047619,47.41241727707262,100.0,Gold,Neutral,Outerwear,1
91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,76.19047619047619,36.047619047619044,55.40822716916691,100.0,Silver,At Risk,Accessories,1
92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,40.54421768707483,72.48129251700679,57.12343036917446,100.0,Platinum,Satisfied,Accessories,1
93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,36.46258503401361,61.413265306122454,49.14714900059945,100.0,Gold,Satisfied,Outerwear,1
94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,96.73469387755101,74.77891156462584,86.45081555596171,100.0,Platinum,Satisfied,Clothing,1
95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,82.0408163265306,69.70068027210883,76.38056722059524,100.0,Platinum,Satisfied,Clothing,1
96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,91.70068027210885,82.63945578231292,88.1491928073785,100.0,Platinum,Neutral,Footwear,1
97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,60.952380952380956,67.98809523809524,64.91793937719918,100.0,Platinum,Neutral,Accessories,1
98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,49.38775510204081,85.156462585034,68.3425286646041,100.0,Platinum,Satisfied,Footwear,1
99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,35.51020408163265,33.84183673469388,33.88519342581897,100.0,Gold,At Risk,Clothing,1
100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,59.455782312925166,46.10204081632653,52.432777791633946,100.0,Bronze,Neutral,Clothing,1
101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,71.156462585034,55.57482993197279,63.363102605652,100.0,Platinum,At Risk,Accessories,1
102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,80.0,88.41666666666666,85.39700490669972,100.0,Platinum,Satisfied,Outerwear,1
103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,61.088435374149654,73.37925170068027,67.87708892724773,100.0,Silver,Satisfied,Clothing,1
104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,57.14285714285714,63.035714285714285,60.35735783469398,100.0,Platinum,Satisfied,Footwear,1
105,55,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,53.33333333333334,27.000000000000007,39.127677556256806,100.0,Bronze,Satisfied,Accessories,1
106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,22.44897959183674,48.37414965986396,35.14784313302141,100.0,Gold,Neutral,Accessories,1
107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,77.82312925170068,42.65816326530613,59.7695986626597,100.0,Bronze,Neutral,Outerwear,1
108,28,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,83.40136054421767,58.19557823129252,70.89098361194795,100.0,Platinum,Neutral,Footwear,1
109,70,Male,Socks,Clothing,79.0,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,65.3061224489796,57.671768707483,61.562460564183,100.0,Platinum,Neutral,Clothing,1
110,58,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,80.95238095238095,56.98809523809524,69.01895537413476,100.0,Platinum,At Risk,Clothing,1
111,56,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,67.07482993197277,39.50680272108843,52.7054648720477,100.0,Bronze,Satisfied,Accessories,1
112,26,Male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,26.53061224489796,61.69217687074829,44.330734865859576,100.0,Gold,Satisfied,Accessories,1
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,62.04081632653061,61.117346938775505,61.777572127295,100.0,Silver,Satisfied,Accessories,1
114,44,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,48.843537414965986,35.091836734693885,41.22219918374296,100.0,Silver,Neutral,Accessories,1
115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,66.53061224489795,52.692176870748305,59.504293408806895,100.0,Platinum,Neutral,Outerwear,1
116,53,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,65.03401360544217,80.13945578231292,73.47518129153052,100.0,Platinum,Neutral,Clothing,1
